transaction_id,date,transaction_type,amount,is_inflow,payment_method,status,reference_number,description,category
TRX-000056,2019-01-06,Interest Payment,32220.52,False,Cash,Completed,REF-164879,Mortgage interest,Financial Expenses
TRX-000057,2019-01-06,Equipment Purchase,10439.84,False,Bank Transfer,Failed,REF-777513,Monitoring system,Capital Expenditure
TRX-000058,2019-01-06,Interest Payment,4010.3,False,Direct Debit,Failed,REF-648141,Bond interest,Financial Expenses
TRX-000059,2019-01-06,Maintenance Cost,36453.41,False,Direct Debit,Pending,REF-912085,Preventive maintenance,Maintenance
TRX-000060,2019-01-06,Customer Payment,67921.88,True,Check,Completed,REF-445705,Monthly water bill payment,Revenue
TRX-000061,2019-01-06,Service Fee,55840.52,True,Check,Pending,REF-858889,Training service,Operating Expenses
TRX-000062,2019-01-06,Insurance Premium,33402.87,False,Credit Card,Pending,REF-425301,Employee insurance,Insurance
TRX-000063,2019-01-06,Supplier Payment,12982.27,False,Check,Failed,REF-494976,Maintenance materials,Operating Expenses
TRX-000064,2019-01-07,Tax Payment,67044.63,False,Bank Transfer,Failed,REF-803024,Environmental tax,Taxes
TRX-000065,2019-01-07,Customer Payment,50898.0,True,Check,Pending,REF-289019,Connection fee payment,Revenue
TRX-000066,2019-01-07,Interest Payment,34239.06,False,Credit Card,Completed,REF-244247,Bond interest,Financial Expenses
TRX-000067,2019-01-07,Supplier Payment,7808.79,False,Cash,Failed,REF-975686,Equipment parts purchase,Operating Expenses
TRX-000068,2019-01-07,Insurance Premium,66226.73,False,Credit Card,Failed,REF-495019,Liability insurance,Insurance
TRX-000069,2019-01-07,Insurance Premium,16308.5,False,Credit Card,Failed,REF-558933,Property insurance,Insurance
TRX-000070,2019-01-07,Utility Bill,41144.78,False,Direct Debit,Failed,REF-398768,Phone service,Operating Expenses
TRX-000071,2019-01-08,Maintenance Cost,53447.71,False,Direct Debit,Completed,REF-485709,Emergency repair,Maintenance
TRX-000072,2019-01-08,Maintenance Cost,46221.83,False,Direct Debit,Failed,REF-653081,Emergency repair,Maintenance
TRX-000073,2019-01-08,Utility Bill,96630.19,False,Cash,Completed,REF-362147,Electricity bill,Operating Expenses
TRX-000074,2019-01-08,Equipment Purchase,64153.79,False,Cash,Completed,REF-845957,New pump installation,Capital Expenditure
TRX-000075,2019-01-08,Salary Payment,28577.8,False,Check,Pending,REF-638289,Overtime payment,Labor Costs
TRX-000076,2019-01-08,Supplier Payment,83121.57,False,Credit Card,Pending,REF-466566,Equipment parts purchase,Operating Expenses
TRX-000077,2019-01-08,Service Fee,41548.2,True,Cash,Pending,REF-347231,Audit service,Operating Expenses
TRX-000078,2019-01-08,Equipment Purchase,99453.08,False,Credit Card,Completed,REF-434165,New pump installation,Capital Expenditure
TRX-000079,2019-01-09,Salary Payment,33595.51,False,Credit Card,Completed,REF-400814,Pension contribution,Labor Costs
TRX-000080,2019-01-09,Salary Payment,69637.59,False,Direct Debit,Pending,REF-745239,Monthly salary payment,Labor Costs
TRX-000081,2019-01-09,Customer Payment,90595.16,True,Check,Completed,REF-975522,Connection fee payment,Revenue
TRX-000082,2019-01-09,Insurance Premium,54925.54,False,Cash,Pending,REF-216587,Equipment insurance,Insurance
TRX-000083,2019-01-09,Supplier Payment,23840.26,False,Bank Transfer,Completed,REF-540218,Office supplies,Operating Expenses
TRX-000084,2019-01-09,Interest Payment,6374.43,False,Cash,Failed,REF-117233,Bond interest,Financial Expenses
TRX-000085,2019-01-09,Maintenance Cost,71882.58,False,Direct Debit,Completed,REF-744674,Preventive maintenance,Maintenance
TRX-000086,2019-01-09,Service Fee,24132.37,True,Credit Card,Failed,REF-800674,Consulting service,Operating Expenses
TRX-000087,2019-01-09,Equipment Purchase,52396.11,False,Bank Transfer,Failed,REF-670511,New pump installation,Capital Expenditure
TRX-000088,2019-01-09,Interest Payment,39106.33,False,Bank Transfer,Failed,REF-505674,Credit line interest,Financial Expenses
TRX-000089,2019-01-09,Customer Payment,25439.66,True,Check,Completed,REF-461551,Connection fee payment,Revenue
TRX-000090,2019-01-09,Supplier Payment,73320.81,False,Cash,Failed,REF-893435,Maintenance materials,Operating Expenses
TRX-000091,2019-01-09,Equipment Purchase,13427.62,False,Cash,Pending,REF-953025,Monitoring system,Capital Expenditure
TRX-000092,2019-01-09,Interest Payment,83055.33,False,Direct Debit,Failed,REF-291132,Bond interest,Financial Expenses
TRX-000093,2019-01-09,Interest Payment,6403.74,False,Bank Transfer,Pending,REF-311383,Loan interest,Financial Expenses
TRX-000094,2019-01-10,Equipment Purchase,88590.46,False,Check,Failed,REF-517568,Office equipment,Capital Expenditure
TRX-000095,2019-01-10,Utility Bill,25406.05,False,Check,Pending,REF-918771,Electricity bill,Operating Expenses
TRX-000096,2019-01-10,Equipment Purchase,86593.25,False,Check,Completed,REF-938171,Safety equipment,Capital Expenditure
TRX-000097,2019-01-10,Service Fee,43751.44,True,Direct Debit,Pending,REF-455505,Training service,Operating Expenses
TRX-000098,2019-01-10,Interest Payment,49670.7,False,Check,Failed,REF-379676,Loan interest,Financial Expenses
TRX-000099,2019-01-10,Supplier Payment,72735.42,False,Direct Debit,Failed,REF-962287,Chemical supplies,Operating Expenses
TRX-000100,2019-01-10,Equipment Purchase,54592.89,False,Bank Transfer,Completed,REF-443848,Safety equipment,Capital Expenditure
TRX-000101,2019-01-10,Insurance Premium,30718.94,False,Direct Debit,Completed,REF-823270,Employee insurance,Insurance
TRX-000102,2019-01-11,Equipment Purchase,44768.25,False,Cash,Pending,REF-387892,New pump installation,Capital Expenditure
TRX-000103,2019-01-11,Service Fee,7596.61,True,Check,Failed,REF-940010,Training service,Operating Expenses
TRX-000104,2019-01-11,Salary Payment,95283.66,False,Cash,Failed,REF-919264,Pension contribution,Labor Costs
TRX-000105,2019-01-11,Supplier Payment,3576.42,False,Credit Card,Failed,REF-484123,Maintenance materials,Operating Expenses
TRX-000106,2019-01-11,Insurance Premium,38347.15,False,Bank Transfer,Failed,REF-260891,Employee insurance,Insurance
TRX-000107,2019-01-11,Equipment Purchase,94887.47,False,Direct Debit,Completed,REF-701800,Monitoring system,Capital Expenditure
TRX-000108,2019-01-11,Service Fee,52993.04,True,Check,Failed,REF-392227,Training service,Operating Expenses
TRX-000109,2019-01-11,Customer Payment,96055.95,True,Credit Card,Pending,REF-642895,Deposit refund,Revenue
TRX-000110,2019-01-11,Supplier Payment,91362.9,False,Check,Pending,REF-838237,Office supplies,Operating Expenses
TRX-000111,2019-01-11,Insurance Premium,21535.59,False,Check,Failed,REF-615060,Liability insurance,Insurance
TRX-000112,2019-01-12,Supplier Payment,13659.27,False,Direct Debit,Completed,REF-848022,Office supplies,Operating Expenses
TRX-000113,2019-01-12,Equipment Purchase,99726.51,False,Check,Failed,REF-168093,Safety equipment,Capital Expenditure
TRX-000114,2019-01-12,Salary Payment,89144.04,False,Credit Card,Pending,REF-633469,Overtime payment,Labor Costs
TRX-000115,2019-01-12,Utility Bill,12224.11,False,Credit Card,Completed,REF-928766,Phone service,Operating Expenses
TRX-000116,2019-01-12,Tax Payment,2725.77,False,Cash,Pending,REF-590110,Income tax,Taxes
TRX-000117,2019-01-12,Supplier Payment,61233.64,False,Bank Transfer,Pending,REF-517500,Office supplies,Operating Expenses
TRX-000118,2019-01-13,Service Fee,41138.43,True,Cash,Completed,REF-231414,Maintenance service,Operating Expenses
TRX-000119,2019-01-13,Interest Payment,64269.63,False,Direct Debit,Failed,REF-642491,Credit line interest,Financial Expenses
TRX-000120,2019-01-13,Tax Payment,12920.63,False,Cash,Completed,REF-905077,Income tax,Taxes
TRX-000121,2019-01-13,Customer Payment,43318.57,True,Bank Transfer,Failed,REF-260448,Late payment penalty,Revenue
TRX-000122,2019-01-13,Equipment Purchase,16549.24,False,Credit Card,Pending,REF-644103,Safety equipment,Capital Expenditure
TRX-000123,2019-01-13,Maintenance Cost,84608.78,False,Credit Card,Failed,REF-677599,Preventive maintenance,Maintenance
TRX-000124,2019-01-13,Maintenance Cost,12604.51,False,Cash,Failed,REF-197966,Facility repair,Maintenance
TRX-000125,2019-01-13,Insurance Premium,59221.66,False,Credit Card,Completed,REF-790731,Equipment insurance,Insurance
TRX-000126,2019-01-13,Insurance Premium,84268.75,False,Bank Transfer,Completed,REF-185168,Property insurance,Insurance
TRX-000127,2019-01-13,Insurance Premium,94859.83,False,Check,Failed,REF-321048,Employee insurance,Insurance
TRX-000128,2019-01-13,Customer Payment,61849.03,True,Direct Debit,Failed,REF-672079,Late payment penalty,Revenue
TRX-000129,2019-01-13,Maintenance Cost,64226.54,False,Direct Debit,Completed,REF-943776,Emergency repair,Maintenance
TRX-000130,2019-01-13,Supplier Payment,29813.64,False,Bank Transfer,Completed,REF-560959,Office supplies,Operating Expenses
TRX-000131,2019-01-14,Equipment Purchase,46497.77,False,Cash,Completed,REF-427766,Safety equipment,Capital Expenditure
TRX-000132,2019-01-14,Equipment Purchase,73446.56,False,Direct Debit,Completed,REF-897615,Safety equipment,Capital Expenditure
TRX-000133,2019-01-14,Supplier Payment,51546.52,False,Check,Completed,REF-589131,Equipment parts purchase,Operating Expenses
TRX-000134,2019-01-14,Utility Bill,26820.42,False,Credit Card,Completed,REF-153063,Internet service,Operating Expenses
TRX-000135,2019-01-14,Insurance Premium,94543.95,False,Direct Debit,Completed,REF-267457,Equipment insurance,Insurance
TRX-000136,2019-01-14,Equipment Purchase,93381.78,False,Credit Card,Completed,REF-622469,Office equipment,Capital Expenditure
TRX-000137,2019-01-14,Maintenance Cost,49926.09,False,Direct Debit,Completed,REF-194423,Emergency repair,Maintenance
TRX-000138,2019-01-14,Utility Bill,50593.9,False,Credit Card,Failed,REF-470037,Electricity bill,Operating Expenses
TRX-000139,2019-01-14,Interest Payment,5148.99,False,Cash,Failed,REF-805188,Mortgage interest,Financial Expenses
TRX-000140,2019-01-14,Customer Payment,28646.26,True,Bank Transfer,Pending,REF-240440,Late payment penalty,Revenue
TRX-000141,2019-01-14,Service Fee,72778.06,True,Check,Completed,REF-520040,Consulting service,Operating Expenses
TRX-000142,2019-01-14,Utility Bill,57071.14,False,Check,Failed,REF-402620,Electricity bill,Operating Expenses
TRX-000143,2019-01-15,Tax Payment,50475.13,False,Check,Failed,REF-813449,Property tax,Taxes
TRX-000144,2019-01-15,Supplier Payment,12953.47,False,Direct Debit,Pending,REF-933510,Maintenance materials,Operating Expenses
TRX-000145,2019-01-15,Equipment Purchase,55827.4,False,Credit Card,Completed,REF-731728,Office equipment,Capital Expenditure
TRX-000146,2019-01-15,Customer Payment,50057.78,True,Bank Transfer,Completed,REF-848255,Late payment penalty,Revenue
TRX-000147,2019-01-15,Tax Payment,80416.19,False,Direct Debit,Completed,REF-735710,Income tax,Taxes
TRX-000148,2019-01-15,Insurance Premium,32863.79,False,Check,Completed,REF-512042,Equipment insurance,Insurance
TRX-000149,2019-01-15,Tax Payment,59413.09,False,Cash,Failed,REF-613641,Sales tax,Taxes
TRX-000150,2019-01-15,Customer Payment,47541.77,True,Check,Pending,REF-806537,Monthly water bill payment,Revenue
TRX-000151,2019-01-15,Insurance Premium,97991.81,False,Check,Failed,REF-821466,Property insurance,Insurance
TRX-000152,2019-01-15,Maintenance Cost,59731.27,False,Cash,Failed,REF-338596,Equipment maintenance,Maintenance
TRX-000153,2019-01-15,Salary Payment,58393.98,False,Cash,Failed,REF-856215,Pension contribution,Labor Costs
TRX-000154,2019-01-16,Utility Bill,82183.96,False,Bank Transfer,Failed,REF-834549,Electricity bill,Operating Expenses
TRX-000155,2019-01-16,Interest Payment,19159.35,False,Check,Pending,REF-258787,Mortgage interest,Financial Expenses
TRX-000156,2019-01-16,Service Fee,69080.98,True,Cash,Failed,REF-594514,Consulting service,Operating Expenses
TRX-000157,2019-01-16,Tax Payment,70606.95,False,Credit Card,Failed,REF-440839,Environmental tax,Taxes
TRX-000158,2019-01-16,Equipment Purchase,52595.17,False,Credit Card,Pending,REF-659024,Safety equipment,Capital Expenditure
TRX-000159,2019-01-16,Maintenance Cost,54672.69,False,Cash,Pending,REF-301603,Facility repair,Maintenance
TRX-000160,2019-01-16,Maintenance Cost,27972.74,False,Credit Card,Pending,REF-908634,Preventive maintenance,Maintenance
TRX-000161,2019-01-17,Interest Payment,69054.97,False,Check,Pending,REF-465746,Credit line interest,Financial Expenses
TRX-000162,2019-01-17,Insurance Premium,28850.16,False,Cash,Pending,REF-513697,Equipment insurance,Insurance
TRX-000163,2019-01-17,Salary Payment,95465.43,False,Check,Completed,REF-401602,Monthly salary payment,Labor Costs
TRX-000164,2019-01-17,Interest Payment,34701.72,False,Check,Failed,REF-602351,Bond interest,Financial Expenses
TRX-000165,2019-01-17,Tax Payment,20286.59,False,Check,Failed,REF-829988,Sales tax,Taxes
TRX-000166,2019-01-17,Insurance Premium,13813.57,False,Cash,Completed,REF-354235,Property insurance,Insurance
TRX-000167,2019-01-17,Tax Payment,67016.41,False,Credit Card,Failed,REF-344146,Property tax,Taxes
TRX-000168,2019-01-17,Equipment Purchase,10109.78,False,Direct Debit,Completed,REF-814281,Monitoring system,Capital Expenditure
TRX-000169,2019-01-18,Salary Payment,96455.42,False,Direct Debit,Failed,REF-598807,Pension contribution,Labor Costs
TRX-000170,2019-01-18,Maintenance Cost,65088.82,False,Check,Pending,REF-777273,Equipment maintenance,Maintenance
TRX-000171,2019-01-18,Supplier Payment,90802.9,False,Cash,Completed,REF-661147,Equipment parts purchase,Operating Expenses
TRX-000172,2019-01-18,Salary Payment,91331.65,False,Direct Debit,Completed,REF-138105,Pension contribution,Labor Costs
TRX-000173,2019-01-18,Salary Payment,78817.27,False,Check,Completed,REF-109717,Bonus payment,Labor Costs
TRX-000174,2019-01-19,Equipment Purchase,60318.02,False,Check,Pending,REF-772464,Office equipment,Capital Expenditure
TRX-000175,2019-01-19,Salary Payment,88937.07,False,Cash,Pending,REF-386090,Overtime payment,Labor Costs
TRX-000176,2019-01-19,Equipment Purchase,80900.51,False,Credit Card,Failed,REF-581206,Safety equipment,Capital Expenditure
TRX-000177,2019-01-19,Customer Payment,71887.96,True,Check,Pending,REF-695361,Connection fee payment,Revenue
TRX-000178,2019-01-19,Service Fee,17631.94,True,Direct Debit,Failed,REF-443856,Consulting service,Operating Expenses
TRX-000179,2019-01-19,Supplier Payment,40143.24,False,Credit Card,Completed,REF-600646,Maintenance materials,Operating Expenses
TRX-000180,2019-01-19,Customer Payment,93588.96,True,Check,Pending,REF-346961,Deposit refund,Revenue
TRX-000181,2019-01-19,Equipment Purchase,75400.29,False,Check,Failed,REF-857997,New pump installation,Capital Expenditure
TRX-000182,2019-01-19,Equipment Purchase,26229.16,False,Credit Card,Completed,REF-800224,New pump installation,Capital Expenditure
TRX-000183,2019-01-19,Salary Payment,46592.96,False,Direct Debit,Failed,REF-626930,Bonus payment,Labor Costs
TRX-000184,2019-01-19,Maintenance Cost,69060.01,False,Check,Failed,REF-331577,Facility repair,Maintenance
TRX-000185,2019-01-19,Interest Payment,95740.32,False,Credit Card,Pending,REF-884056,Credit line interest,Financial Expenses
TRX-000186,2019-01-19,Tax Payment,41642.98,False,Direct Debit,Failed,REF-940952,Income tax,Taxes
TRX-000187,2019-01-19,Insurance Premium,76209.78,False,Bank Transfer,Failed,REF-568449,Equipment insurance,Insurance
TRX-000188,2019-01-20,Supplier Payment,91732.75,False,Bank Transfer,Failed,REF-630041,Chemical supplies,Operating Expenses
TRX-000189,2019-01-20,Salary Payment,57312.9,False,Credit Card,Pending,REF-995993,Pension contribution,Labor Costs
TRX-000190,2019-01-20,Utility Bill,11712.38,False,Cash,Pending,REF-195359,Phone service,Operating Expenses
TRX-000191,2019-01-20,Interest Payment,80888.34,False,Credit Card,Failed,REF-535604,Mortgage interest,Financial Expenses
TRX-000192,2019-01-20,Tax Payment,56434.73,False,Direct Debit,Failed,REF-946112,Sales tax,Taxes
TRX-000193,2019-01-20,Service Fee,72355.68,True,Check,Completed,REF-882032,Training service,Operating Expenses
TRX-000194,2019-01-21,Service Fee,7395.65,True,Check,Failed,REF-166857,Consulting service,Operating Expenses
TRX-000195,2019-01-21,Supplier Payment,93464.82,False,Direct Debit,Completed,REF-401036,Office supplies,Operating Expenses
TRX-000196,2019-01-21,Salary Payment,18080.13,False,Direct Debit,Pending,REF-501058,Pension contribution,Labor Costs
TRX-000197,2019-01-21,Service Fee,86975.07,True,Direct Debit,Completed,REF-815894,Training service,Operating Expenses
TRX-000198,2019-01-21,Equipment Purchase,65388.06,False,Bank Transfer,Completed,REF-663356,Office equipment,Capital Expenditure
TRX-000199,2019-01-21,Utility Bill,52931.37,False,Bank Transfer,Completed,REF-412856,Phone service,Operating Expenses
TRX-000200,2019-01-21,Tax Payment,67382.64,False,Direct Debit,Failed,REF-497700,Income tax,Taxes
TRX-000201,2019-01-21,Equipment Purchase,24826.45,False,Credit Card,Pending,REF-297636,New pump installation,Capital Expenditure
TRX-000202,2019-01-21,Service Fee,3318.51,True,Cash,Completed,REF-352356,Training service,Operating Expenses
TRX-000203,2019-01-21,Insurance Premium,6822.36,False,Bank Transfer,Pending,REF-726822,Property insurance,Insurance
TRX-000204,2019-01-21,Customer Payment,24548.94,True,Direct Debit,Pending,REF-345722,Connection fee payment,Revenue
TRX-000205,2019-01-21,Customer Payment,75463.13,True,Credit Card,Failed,REF-403314,Connection fee payment,Revenue
TRX-000206,2019-01-21,Insurance Premium,81597.05,False,Check,Failed,REF-726962,Equipment insurance,Insurance
TRX-000207,2019-01-21,Salary Payment,23766.71,False,Cash,Completed,REF-533649,Bonus payment,Labor Costs
TRX-000208,2019-01-22,Insurance Premium,6189.67,False,Credit Card,Failed,REF-811721,Employee insurance,Insurance
TRX-000209,2019-01-22,Customer Payment,55629.48,True,Check,Failed,REF-803953,Deposit refund,Revenue
TRX-000210,2019-01-22,Equipment Purchase,78601.88,False,Direct Debit,Pending,REF-256466,Safety equipment,Capital Expenditure
TRX-000211,2019-01-22,Tax Payment,37708.37,False,Direct Debit,Completed,REF-990598,Income tax,Taxes
TRX-000212,2019-01-22,Salary Payment,30143.57,False,Direct Debit,Completed,REF-689704,Pension contribution,Labor Costs
TRX-000213,2019-01-22,Tax Payment,96781.84,False,Cash,Completed,REF-507286,Income tax,Taxes
TRX-000214,2019-01-22,Equipment Purchase,25574.06,False,Bank Transfer,Pending,REF-988283,Safety equipment,Capital Expenditure
TRX-000215,2019-01-22,Utility Bill,9337.15,False,Bank Transfer,Pending,REF-495489,Electricity bill,Operating Expenses
TRX-000216,2019-01-22,Utility Bill,87374.68,False,Cash,Failed,REF-804066,Gas bill,Operating Expenses
TRX-000217,2019-01-23,Equipment Purchase,20968.02,False,Check,Completed,REF-322096,Monitoring system,Capital Expenditure
TRX-000218,2019-01-23,Supplier Payment,96211.55,False,Direct Debit,Completed,REF-829417,Chemical supplies,Operating Expenses
TRX-000219,2019-01-23,Utility Bill,39723.54,False,Cash,Pending,REF-913185,Internet service,Operating Expenses
TRX-000220,2019-01-23,Tax Payment,38128.11,False,Check,Pending,REF-374267,Sales tax,Taxes
TRX-000221,2019-01-23,Interest Payment,51330.37,False,Direct Debit,Completed,REF-941814,Mortgage interest,Financial Expenses
TRX-000222,2019-01-23,Equipment Purchase,76186.73,False,Credit Card,Pending,REF-428122,Office equipment,Capital Expenditure
TRX-000223,2019-01-23,Utility Bill,4666.97,False,Credit Card,Completed,REF-373441,Phone service,Operating Expenses
TRX-000224,2019-01-23,Utility Bill,29589.71,False,Check,Completed,REF-498290,Gas bill,Operating Expenses
TRX-000225,2019-01-23,Equipment Purchase,49980.22,False,Check,Pending,REF-858705,Office equipment,Capital Expenditure
TRX-000226,2019-01-23,Equipment Purchase,46136.82,False,Credit Card,Completed,REF-855303,Office equipment,Capital Expenditure
TRX-000227,2019-01-23,Tax Payment,18486.37,False,Bank Transfer,Failed,REF-135466,Property tax,Taxes
TRX-000228,2019-01-23,Customer Payment,94524.29,True,Bank Transfer,Pending,REF-244170,Connection fee payment,Revenue
TRX-000229,2019-01-24,Customer Payment,70746.24,True,Credit Card,Failed,REF-578160,Late payment penalty,Revenue
TRX-000230,2019-01-24,Insurance Premium,6138.97,False,Direct Debit,Failed,REF-611552,Property insurance,Insurance
TRX-000231,2019-01-24,Tax Payment,760.57,False,Direct Debit,Completed,REF-117538,Sales tax,Taxes
TRX-000232,2019-01-24,Maintenance Cost,53620.24,False,Bank Transfer,Failed,REF-952657,Emergency repair,Maintenance
TRX-000233,2019-01-24,Salary Payment,80636.15,False,Bank Transfer,Completed,REF-649857,Overtime payment,Labor Costs
TRX-000234,2019-01-24,Insurance Premium,24172.79,False,Cash,Pending,REF-954814,Equipment insurance,Insurance
TRX-000235,2019-01-25,Supplier Payment,79514.14,False,Check,Pending,REF-581294,Chemical supplies,Operating Expenses
TRX-000236,2019-01-25,Utility Bill,99024.28,False,Check,Failed,REF-968286,Electricity bill,Operating Expenses
TRX-000237,2019-01-25,Customer Payment,65408.2,True,Bank Transfer,Pending,REF-497687,Deposit refund,Revenue
TRX-000238,2019-01-25,Customer Payment,55314.87,True,Bank Transfer,Failed,REF-279708,Monthly water bill payment,Revenue
TRX-000239,2019-01-25,Service Fee,50035.85,True,Check,Failed,REF-999636,Consulting service,Operating Expenses
TRX-000240,2019-01-25,Customer Payment,89489.64,True,Credit Card,Completed,REF-825916,Deposit refund,Revenue
