project_id,project_name,project_type,start_date,planned_end_date,actual_end_date,base_budget,contingency_budget,total_budget,actual_cost,progress_percentage,status,priority,risk_level,benefits_realized,key_milestones,stakeholders
CAPEX-000020,Environmental Compliance Project 20,Environmental Compliance,2019-06-16,2021-01-06,,4576086.17,608835.74,5184921.91,5521620.18,85.14,On Track,Medium,High,"[""Enhanced safety measures"", ""Better environmental compliance"", ""Improved operational efficiency"", ""Technology advancement""]","[""Commissioning"", ""Project handover"", ""Testing phase"", ""Equipment procurement""]","[""Local Community"", ""Operations Team"", ""Safety Department""]"
CAPEX-000021,Treatment Plant Modernization Project 21,Treatment Plant Modernization,2019-07-14,2020-09-06,2020-09-06,3396859.07,398227.65,3795086.72,4039807.04,91.69,Completed,High,High,"[""Technology advancement"", ""Improved operational efficiency"", ""Increased capacity""]","[""Staff training"", ""Testing phase"", ""Design phase completed"", ""Project planning completed"", ""Installation completed"", ""Equipment procurement""]","[""Local Community"", ""Operations Team"", ""Maintenance Team"", ""Contractors""]"
CAPEX-000022,Infrastructure Upgrade Project 22,Infrastructure Upgrade,2019-07-09,2020-12-30,2020-12-30,668990.36,49157.41,718147.77,702154.02,90.75,Completed,Low,High,"[""Cost savings"", ""Increased capacity"", ""Improved customer service"", ""Enhanced safety measures"", ""Better environmental compliance""]","[""Design phase completed"", ""Commissioning"", ""Installation completed"", ""Testing phase"", ""Staff training"", ""Project handover""]","[""Regulatory Bodies"", ""Maintenance Team"", ""Environmental Team""]"
CAPEX-000023,Automation Project Project 23,Automation Project,2019-07-30,2020-05-25,2020-05-25,4291705.95,257225.38,4548931.33,4589385.76,93.71,Completed,High,Medium,"[""Better environmental compliance"", ""Improved operational efficiency"", ""Technology advancement"", ""Cost savings""]","[""Installation completed"", ""Staff training"", ""Commissioning"", ""Testing phase"", ""Project planning completed"", ""Project handover""]","[""Environmental Team"", ""Maintenance Team"", ""Customer Service"", ""Local Community""]"
CAPEX-000024,Treatment Plant Modernization Project 24,Treatment Plant Modernization,2019-07-26,2021-03-17,2021-03-17,1115071.11,79833.67,1194904.78,1153933.78,97.39,Completed,Low,Low,"[""Reduced maintenance costs"", ""Enhanced safety measures"", ""Increased capacity"", ""Technology advancement""]","[""Design phase completed"", ""Staff training"", ""Project planning completed"", ""Project handover""]","[""Regulatory Bodies"", ""Local Community"", ""Maintenance Team""]"
CAPEX-000025,Environmental Compliance Project 25,Environmental Compliance,2019-06-30,2020-02-25,2020-02-25,1400300.79,87765.05,1488065.84,1373082.79,88.42,Completed,Medium,Medium,"[""Enhanced safety measures"", ""Better environmental compliance"", ""Increased capacity"", ""Technology advancement""]","[""Project planning completed"", ""Staff training"", ""Commissioning"", ""Testing phase"", ""Equipment procurement"", ""Design phase completed""]","[""Operations Team"", ""Contractors"", ""Environmental Team"", ""Regulatory Bodies"", ""Customer Service""]"
CAPEX-000026,Automation Project Project 26,Automation Project,2019-08-21,2021-01-12,2021-01-12,460104.51,26722.43,486826.94,444539.42,92.17,Completed,Low,High,"[""Improved customer service"", ""Better environmental compliance"", ""Increased capacity"", ""Technology advancement"", ""Reduced maintenance costs""]","[""Commissioning"", ""Project planning completed"", ""Staff training"", ""Project handover"", ""Design phase completed""]","[""Contractors"", ""Maintenance Team"", ""Environmental Team"", ""Safety Department""]"
CAPEX-000027,Safety Enhancement Project 27,Safety Enhancement,2019-09-11,2020-03-09,,1631486.91,132562.16,1764049.07,1924080.96,85.1,On Track,High,Low,"[""Enhanced safety measures"", ""Better environmental compliance"", ""Improved operational efficiency""]","[""Staff training"", ""Commissioning"", ""Design phase completed"", ""Testing phase"", ""Project planning completed"", ""Equipment procurement""]","[""Regulatory Bodies"", ""Contractors"", ""Operations Team"", ""Environmental Team"", ""Safety Department""]"
CAPEX-000028,Safety Enhancement Project 28,Safety Enhancement,2019-09-25,2020-01-23,2020-01-23,4845153.26,533165.55,5378318.82,5462132.95,87.03,Completed,High,High,"[""Better environmental compliance"", ""Cost savings"", ""Improved operational efficiency"", ""Reduced maintenance costs""]","[""Staff training"", ""Project planning completed"", ""Equipment procurement"", ""Testing phase"", ""Design phase completed"", ""Installation completed""]","[""Operations Team"", ""Customer Service"", ""Regulatory Bodies"", ""Safety Department"", ""Contractors""]"
CAPEX-000029,Distribution Network Improvement Project 29,Distribution Network Improvement,2019-09-06,2020-08-31,,4615533.85,392792.74,5008326.59,4650983.98,83.63,On Track,High,Low,"[""Improved operational efficiency"", ""Technology advancement"", ""Improved customer service"", ""Increased capacity"", ""Enhanced safety measures""]","[""Commissioning"", ""Installation completed"", ""Equipment procurement"", ""Design phase completed"", ""Staff training""]","[""Regulatory Bodies"", ""Local Community"", ""Customer Service"", ""Contractors""]"
CAPEX-000030,Treatment Plant Modernization Project 30,Treatment Plant Modernization,2019-09-26,2020-01-24,,862341.53,108175.22,970516.74,889300.32,81.0,On Track,Low,Medium,"[""Technology advancement"", ""Better environmental compliance"", ""Reduced maintenance costs"", ""Enhanced safety measures""]","[""Design phase completed"", ""Equipment procurement"", ""Installation completed"", ""Project planning completed"", ""Commissioning"", ""Staff training""]","[""Contractors"", ""Customer Service"", ""Regulatory Bodies"", ""Safety Department"", ""Operations Team""]"
CAPEX-000031,Safety Enhancement Project 31,Safety Enhancement,2019-10-17,2020-02-14,2020-02-14,137666.72,11032.88,148699.6,137910.99,84.22,Completed,Medium,Medium,"[""Improved operational efficiency"", ""Better environmental compliance"", ""Improved customer service""]","[""Equipment procurement"", ""Design phase completed"", ""Installation completed"", ""Testing phase"", ""Commissioning""]","[""Regulatory Bodies"", ""Operations Team"", ""Environmental Team"", ""Local Community"", ""Contractors""]"
CAPEX-000032,Infrastructure Upgrade Project 32,Infrastructure Upgrade,2019-10-12,2020-03-10,,4324339.07,465194.74,4789533.8,4990214.27,91.47,On Track,Medium,Low,"[""Improved operational efficiency"", ""Reduced maintenance costs"", ""Enhanced safety measures"", ""Increased capacity""]","[""Staff training"", ""Project planning completed"", ""Installation completed"", ""Commissioning"", ""Design phase completed""]","[""Local Community"", ""Customer Service"", ""Operations Team"", ""Environmental Team""]"
CAPEX-000033,Environmental Compliance Project 33,Environmental Compliance,2019-11-04,2020-11-28,2020-11-28,3917677.56,225806.86,4143484.41,4168846.53,92.66,Completed,Medium,Medium,"[""Reduced maintenance costs"", ""Enhanced safety measures"", ""Improved operational efficiency"", ""Cost savings"", ""Technology advancement""]","[""Equipment procurement"", ""Testing phase"", ""Design phase completed"", ""Project planning completed""]","[""Contractors"", ""Environmental Team"", ""Customer Service""]"
CAPEX-000034,Automation Project Project 34,Automation Project,2019-11-18,2021-08-09,2021-08-09,3250659.97,483220.99,3733880.96,4085592.43,86.46,Completed,High,Medium,"[""Technology advancement"", ""Better environmental compliance"", ""Improved customer service""]","[""Testing phase"", ""Project handover"", ""Project planning completed"", ""Equipment procurement"", ""Staff training""]","[""Contractors"", ""Environmental Team"", ""Operations Team"", ""Regulatory Bodies""]"
CAPEX-000035,Environmental Compliance Project 35,Environmental Compliance,2019-11-23,2020-11-17,,475981.91,64935.83,540917.74,553359.75,97.11,On Track,Medium,High,"[""Improved operational efficiency"", ""Better environmental compliance"", ""Increased capacity"", ""Enhanced safety measures"", ""Reduced maintenance costs""]","[""Project handover"", ""Testing phase"", ""Design phase completed"", ""Project planning completed"", ""Installation completed"", ""Commissioning""]","[""Maintenance Team"", ""Customer Service"", ""Regulatory Bodies"", ""Contractors""]"
CAPEX-000036,Technology Implementation Project 36,Technology Implementation,2019-12-19,2021-05-12,2021-05-12,4955831.51,507511.12,5463342.63,5314628.22,92.2,Completed,Medium,Medium,"[""Improved operational efficiency"", ""Cost savings"", ""Improved customer service"", ""Reduced maintenance costs""]","[""Staff training"", ""Project planning completed"", ""Testing phase"", ""Installation completed""]","[""Customer Service"", ""Regulatory Bodies"", ""Local Community"", ""Contractors""]"
CAPEX-000037,Environmental Compliance Project 37,Environmental Compliance,2019-12-29,2021-09-19,,3351699.32,474850.81,3826550.13,3945980.37,86.2,On Track,High,High,"[""Enhanced safety measures"", ""Reduced maintenance costs"", ""Increased capacity"", ""Better environmental compliance"", ""Cost savings""]","[""Design phase completed"", ""Staff training"", ""Commissioning"", ""Installation completed""]","[""Regulatory Bodies"", ""Operations Team"", ""Safety Department"", ""Contractors"", ""Maintenance Team""]"
CAPEX-000038,Technology Implementation Project 38,Technology Implementation,2020-01-06,2021-06-29,2021-06-29,1040825.64,156121.41,1196947.06,1148061.85,83.1,Completed,Low,High,"[""Improved operational efficiency"", ""Improved customer service"", ""Reduced maintenance costs"", ""Increased capacity"", ""Enhanced safety measures""]","[""Commissioning"", ""Design phase completed"", ""Project handover"", ""Staff training"", ""Testing phase"", ""Equipment procurement""]","[""Operations Team"", ""Environmental Team"", ""Safety Department"", ""Maintenance Team""]"
CAPEX-000039,Facility Expansion Project 39,Facility Expansion,2020-02-19,2021-07-13,2021-07-13,1246614.43,92145.81,1338760.24,1414900.95,99.31,Completed,Medium,High,"[""Technology advancement"", ""Better environmental compliance"", ""Reduced maintenance costs"", ""Cost savings"", ""Increased capacity""]","[""Installation completed"", ""Commissioning"", ""Testing phase"", ""Design phase completed""]","[""Operations Team"", ""Regulatory Bodies"", ""Environmental Team"", ""Safety Department""]"
CAPEX-000040,Treatment Plant Modernization Project 40,Treatment Plant Modernization,2020-02-17,2021-09-09,2021-09-09,4270713.64,335277.93,4605991.57,4396687.3,95.26,Completed,Medium,Low,"[""Technology advancement"", ""Reduced maintenance costs"", ""Improved operational efficiency""]","[""Project planning completed"", ""Installation completed"", ""Testing phase"", ""Equipment procurement"", ""Design phase completed""]","[""Maintenance Team"", ""Safety Department"", ""Contractors"", ""Operations Team""]"
CAPEX-000041,Environmental Compliance Project 41,Environmental Compliance,2020-02-24,2020-08-22,2020-08-22,4211963.81,484359.28,4696323.09,4355933.2,95.83,Completed,Medium,High,"[""Technology advancement"", ""Better environmental compliance"", ""Increased capacity""]","[""Design phase completed"", ""Project planning completed"", ""Equipment procurement"", ""Project handover""]","[""Local Community"", ""Operations Team"", ""Safety Department""]"
CAPEX-000042,Technology Implementation Project 42,Technology Implementation,2020-02-04,2020-08-02,2020-08-02,333972.29,30719.62,364691.91,361563.85,95.88,Completed,Medium,High,"[""Improved operational efficiency"", ""Improved customer service"", ""Increased capacity"", ""Cost savings"", ""Enhanced safety measures""]","[""Equipment procurement"", ""Project handover"", ""Installation completed"", ""Project planning completed"", ""Commissioning"", ""Testing phase""]","[""Local Community"", ""Maintenance Team"", ""Regulatory Bodies"", ""Operations Team"", ""Safety Department""]"
CAPEX-000043,Infrastructure Upgrade Project 43,Infrastructure Upgrade,2020-03-08,2021-08-30,2021-08-30,313318.68,27787.65,341106.33,357978.58,87.47,Completed,High,Medium,"[""Enhanced safety measures"", ""Cost savings"", ""Increased capacity""]","[""Staff training"", ""Design phase completed"", ""Project planning completed"", ""Equipment procurement"", ""Testing phase"", ""Installation completed""]","[""Contractors"", ""Regulatory Bodies"", ""Environmental Team""]"
CAPEX-000044,Distribution Network Improvement Project 44,Distribution Network Improvement,2020-03-28,2021-08-20,2021-08-20,281220.57,19730.18,300950.75,324171.54,95.82,Completed,Medium,High,"[""Technology advancement"", ""Reduced maintenance costs"", ""Improved operational efficiency"", ""Enhanced safety measures""]","[""Staff training"", ""Commissioning"", ""Project planning completed"", ""Equipment procurement"", ""Testing phase""]","[""Regulatory Bodies"", ""Environmental Team"", ""Local Community""]"
CAPEX-000045,Automation Project Project 45,Automation Project,2020-04-23,2021-07-17,2021-07-17,1761279.48,120967.71,1882247.19,1832310.01,93.84,Completed,High,High,"[""Enhanced safety measures"", ""Better environmental compliance"", ""Increased capacity"", ""Technology advancement""]","[""Testing phase"", ""Equipment procurement"", ""Project planning completed"", ""Staff training"", ""Commissioning"", ""Installation completed""]","[""Customer Service"", ""Environmental Team"", ""Contractors"", ""Local Community""]"
CAPEX-000046,Automation Project Project 46,Automation Project,2020-05-06,2021-09-28,2021-09-28,307540.3,42134.16,349674.46,384512.57,87.05,Completed,Low,Low,"[""Cost savings"", ""Reduced maintenance costs"", ""Increased capacity""]","[""Equipment procurement"", ""Project planning completed"", ""Design phase completed"", ""Testing phase"", ""Installation completed"", ""Commissioning""]","[""Maintenance Team"", ""Contractors"", ""Regulatory Bodies""]"
CAPEX-000047,Environmental Compliance Project 47,Environmental Compliance,2020-05-06,2021-07-30,2021-07-30,4752388.85,253010.21,5005399.06,4955267.55,83.07,Completed,Medium,Medium,"[""Reduced maintenance costs"", ""Increased capacity"", ""Technology advancement""]","[""Staff training"", ""Project handover"", ""Equipment procurement"", ""Design phase completed"", ""Project planning completed""]","[""Safety Department"", ""Environmental Team"", ""Customer Service""]"
CAPEX-000048,Treatment Plant Modernization Project 48,Treatment Plant Modernization,2020-06-02,2021-04-28,,3549785.27,253657.16,3803442.43,3951001.27,92.24,On Track,High,Low,"[""Enhanced safety measures"", ""Better environmental compliance"", ""Technology advancement""]","[""Project handover"", ""Project planning completed"", ""Staff training"", ""Equipment procurement"", ""Testing phase"", ""Installation completed""]","[""Customer Service"", ""Safety Department"", ""Maintenance Team""]"
CAPEX-000049,Distribution Network Improvement Project 49,Distribution Network Improvement,2020-06-19,2021-08-13,,2592903.15,161113.27,2754016.42,2555108.61,84.02,On Track,High,Medium,"[""Improved customer service"", ""Better environmental compliance"", ""Increased capacity"", ""Enhanced safety measures"", ""Improved operational efficiency""]","[""Testing phase"", ""Installation completed"", ""Staff training"", ""Commissioning""]","[""Local Community"", ""Contractors"", ""Environmental Team"", ""Customer Service"", ""Operations Team""]"
CAPEX-000050,Distribution Network Improvement Project 50,Distribution Network Improvement,2020-06-04,2022-04-25,2022-04-25,463408.6,44757.54,508166.14,470392.58,90.35,Completed,High,Medium,"[""Improved operational efficiency"", ""Cost savings"", ""Technology advancement"", ""Increased capacity"", ""Enhanced safety measures""]","[""Equipment procurement"", ""Design phase completed"", ""Project handover"", ""Commissioning"", ""Staff training""]","[""Customer Service"", ""Local Community"", ""Operations Team"", ""Safety Department"", ""Maintenance Team""]"
CAPEX-000051,Facility Expansion Project 51,Facility Expansion,2020-05-29,2022-04-19,2022-04-19,1583840.57,163686.44,1747527.01,1631713.47,90.05,Completed,High,High,"[""Improved customer service"", ""Cost savings"", ""Increased capacity"", ""Improved operational efficiency"", ""Technology advancement""]","[""Project planning completed"", ""Staff training"", ""Testing phase"", ""Equipment procurement""]","[""Environmental Team"", ""Local Community"", ""Customer Service"", ""Contractors"", ""Operations Team""]"
CAPEX-000052,Facility Expansion Project 52,Facility Expansion,2020-07-14,2021-07-09,2021-07-09,2466429.61,321792.15,2788221.76,2675261.9,93.7,Completed,Low,Low,"[""Technology advancement"", ""Better environmental compliance"", ""Cost savings""]","[""Installation completed"", ""Equipment procurement"", ""Testing phase"", ""Design phase completed"", ""Commissioning""]","[""Regulatory Bodies"", ""Contractors"", ""Safety Department"", ""Environmental Team"", ""Maintenance Team""]"
CAPEX-000053,Environmental Compliance Project 53,Environmental Compliance,2020-07-10,2022-03-02,2022-03-02,620301.27,46010.09,666311.37,659594.42,82.45,Completed,High,Low,"[""Cost savings"", ""Technology advancement"", ""Increased capacity"", ""Better environmental compliance""]","[""Equipment procurement"", ""Commissioning"", ""Project handover"", ""Testing phase""]","[""Regulatory Bodies"", ""Maintenance Team"", ""Local Community"", ""Environmental Team"", ""Customer Service""]"
CAPEX-000054,Automation Project Project 54,Automation Project,2020-07-22,2021-07-17,2021-07-17,2537114.34,149702.2,2686816.54,2663833.86,87.86,Completed,High,High,"[""Improved operational efficiency"", ""Technology advancement"", ""Reduced maintenance costs"", ""Better environmental compliance""]","[""Project handover"", ""Equipment procurement"", ""Testing phase"", ""Project planning completed"", ""Staff training"", ""Design phase completed""]","[""Customer Service"", ""Regulatory Bodies"", ""Safety Department""]"
CAPEX-000055,Safety Enhancement Project 55,Safety Enhancement,2020-07-05,2020-11-02,2020-11-02,2062849.94,220783.04,2283632.99,2307941.31,83.89,Completed,Medium,High,"[""Increased capacity"", ""Cost savings"", ""Technology advancement"", ""Improved customer service""]","[""Equipment procurement"", ""Project planning completed"", ""Installation completed"", ""Project handover""]","[""Regulatory Bodies"", ""Local Community"", ""Maintenance Team"", ""Contractors""]"
CAPEX-000056,Safety Enhancement Project 56,Safety Enhancement,2020-08-09,2020-12-07,,321986.43,20511.71,342498.13,340699.62,86.66,On Track,High,High,"[""Reduced maintenance costs"", ""Technology advancement"", ""Increased capacity"", ""Cost savings"", ""Enhanced safety measures""]","[""Testing phase"", ""Project handover"", ""Equipment procurement"", ""Commissioning"", ""Installation completed""]","[""Customer Service"", ""Environmental Team"", ""Operations Team"", ""Safety Department"", ""Contractors""]"
CAPEX-000057,Treatment Plant Modernization Project 57,Treatment Plant Modernization,2020-08-06,2022-04-28,,1607621.39,224868.79,1832490.18,1879863.89,97.44,On Track,Medium,High,"[""Better environmental compliance"", ""Improved customer service"", ""Improved operational efficiency"", ""Increased capacity"", ""Technology advancement""]","[""Commissioning"", ""Design phase completed"", ""Staff training"", ""Project handover""]","[""Maintenance Team"", ""Contractors"", ""Operations Team""]"
CAPEX-000058,Automation Project Project 58,Automation Project,2020-08-03,2021-11-26,,842013.16,100241.69,942254.85,994073.65,88.21,On Track,Low,High,"[""Reduced maintenance costs"", ""Increased capacity"", ""Enhanced safety measures""]","[""Staff training"", ""Project handover"", ""Installation completed"", ""Testing phase"", ""Commissioning"", ""Design phase completed""]","[""Contractors"", ""Customer Service"", ""Safety Department""]"
CAPEX-000059,Environmental Compliance Project 59,Environmental Compliance,2020-08-14,2022-08-04,2022-08-04,3252214.59,388091.1,3640305.69,3416255.19,92.2,Completed,Medium,High,"[""Better environmental compliance"", ""Reduced maintenance costs"", ""Cost savings"", ""Enhanced safety measures""]","[""Project handover"", ""Equipment procurement"", ""Installation completed"", ""Commissioning"", ""Testing phase"", ""Design phase completed""]","[""Local Community"", ""Environmental Team"", ""Safety Department""]"
CAPEX-000060,Distribution Network Improvement Project 60,Distribution Network Improvement,2020-08-02,2020-11-30,2020-11-30,1509388.67,183261.11,1692649.78,1673142.37,86.93,Completed,Low,Medium,"[""Better environmental compliance"", ""Cost savings"", ""Increased capacity""]","[""Testing phase"", ""Design phase completed"", ""Project planning completed"", ""Project handover"", ""Commissioning""]","[""Operations Team"", ""Regulatory Bodies"", ""Customer Service""]"
CAPEX-000061,Technology Implementation Project 61,Technology Implementation,2020-08-24,2021-02-20,2021-02-20,2125176.69,258710.1,2383886.79,2512981.92,82.01,Completed,Low,Low,"[""Technology advancement"", ""Better environmental compliance"", ""Improved customer service"", ""Enhanced safety measures""]","[""Staff training"", ""Equipment procurement"", ""Project handover"", ""Project planning completed"", ""Testing phase""]","[""Environmental Team"", ""Customer Service"", ""Regulatory Bodies"", ""Operations Team"", ""Maintenance Team""]"
